t12;[1, 1];['y11_0', 'y9_0'];11;[0, 0, 0, 1]
t2;[1, 1];['y15_0', 'y12_0'];11;[0, 0, 0, 1]
t7;[1, 1];['y16_0', 'y13_0'];11;[0, 0, 0, 1]
t14;[1, 1, 3, 3];['y14_0', 'y17_0', 'y11_0', 'y9_0'];11;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]
t16;[1, 1, 3, 3];['y10_0', 'y8_0', 'y11_0', 'y9_0'];11;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]
t23;[1, 4, 1, 1, 4];['y21', 'y1_0', 't7', 't14', 'y5_0'];11;[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]
t21;[1, 2, 1, 2, 2];['y6_0', 'y20', 'y3_0', 't14', 't2'];11;[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]
t22;[1, 2, 1, 2, 2];['y4_0', 'y19', 'x7_0', 't2', 't16'];11;[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]
t24;[1, 1, 1, 4, 4];['y18', 't7', 't16', 'y2_0', 'y7_0'];11;[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]
t26;[1, 1];['t23', 't21'];11;[0, 0, 0, 1]
t27;[1, 2, 2];['t24', 't23', 't21'];11;[0, 0, 0, 1, 1, 1, 1, 0]
t33;[1, 2, 6, 3];['t24', 't22', 't23', 't21'];11;[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]
t29;[1, 2, 6, 3];['t22', 't24', 't21', 't23'];11;[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]
z2;[1, 1];['t33', 'x7_1'];11;[0, 0, 0, 1]
z11;[1, 1];['t33', 'y4_1'];11;[0, 0, 0, 1]
t42;[1, 2, 5, 9];['t22', 't21', 't24', 't23'];11;[0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]
z5;[1, 3, 9, 6];['y7_1', 't27', 't22', 't21'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]
z14;[1, 3, 9, 6];['y2_1', 't27', 't22', 't21'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]
t36;[1, 2, 6, 7];['t24', 't22', 't23', 't21'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]
z6;[1, 1];['y11_1', 't42'];11;[0, 0, 0, 1]
z15;[1, 1];['y9_1', 't42'];11;[0, 0, 0, 1]
t37;[1, 3, 5, 4];['t23', 't24', 't22', 't21'];11;[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]
t40;[1, 10, 3, 4];['t27', 't36', 't22', 't21'];11;[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]
t44;[1, 3, 9, 5];['t23', 't24', 't22', 't21'];11;[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]
z1;[1, 1];['y6_1', 't37'];11;[0, 0, 0, 1]
z10;[1, 1];['t37', 'y3_1'];11;[0, 0, 0, 1]
t43;[1, 3, 1, 4];['t27', 't22', 't36', 't21'];11;[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]
z4;[1, 1];['t40', 'y1_1'];11;[0, 0, 0, 1]
z13;[1, 1];['y5_1', 't40'];11;[0, 0, 0, 1]
z0;[1, 1];['y15_1', 't44'];11;[0, 0, 0, 1]
z9;[1, 2, 2];['y12_1', 't36', 't23'];11;[0, 0, 0, 0, 0, 1, 1, 0]
z8;[1, 2, 2, 2, 2];['y10_1', 't40', 't36', 't23', 't33'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]
z17;[1, 2, 2, 2, 2];['y8_1', 't40', 't36', 't23', 't33'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]
z3;[1, 1];['t43', 'y16_1'];11;[0, 0, 0, 1]
z12;[1, 1];['y13_1', 't43'];11;[0, 0, 0, 1]
z7;[1, 2, 2, 2, 2];['y17_1', 't29', 't40', 't36', 't23'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]
z16;[1, 2, 2, 2, 2];['y14_1', 't29', 't40', 't36', 't23'];11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]
